image,algorithm,psnr,ssim,uciqe,uiqm,entropy
00011.png,UWnet,18.41732236850693,0.8269803750880163,142896.8706245461,231.36442962043438,7.386338
00011.png,U-Transformer,23.35739711149237,0.8257191254992508,23.097908577765804,219.51016445958555,7.1208687
00011.png,SS-UIE,25.336836337798445,0.8510866952166799,23.737723155888546,254.8592252164429,7.2643356
00012.png,DM,26.942857193615517,0.8842945095464787,19.38228676678615,198.2818607689166,7.3053474
00012.png,HAAM-GAN,18.793276930495114,0.8418296816126459,24.475778287167277,256.39730901625427,7.6539907
00012.png,UWnet,19.854787087914367,0.8513549027159404,20.065485813209865,183.00714692496138,7.3212075
00012.png,U-Transformer,26.243652026159438,0.8771606024458438,18.17266165967635,211.7999379098697,7.2296047
00012.png,SS-UIE,28.199425625796522,0.8844464858993134,18.013002889166856,202.15796929540699,7.230366
00013.png,DM,31.881808212174082,0.9889437793830654,2217788.111368118,195.03408167512814,7.3782454
00013.png,HAAM-GAN,18.92327485032961,0.9411506888046316,15.69699630301255,173.32604240949615,7.2754517
00013.png,UWnet,10.036942543211287,0.6820746098595877,7.196384716832703,76.57144972965376,6.0414176
00013.png,U-Transformer,20.74808038025777,0.932172811306585,16.646366996536628,183.4117442369057,7.252741
00013.png,SS-UIE,24.37478517799668,0.9635852109628957,15.68686098782966,173.43998846237372,7.2365456
00014.png,DM,31.180225882673568,0.9933957800850779,142894.72117535918,437.4359778096072,7.528465
00014.png,HAAM-GAN,19.926572556370516,0.9509055163694584,22.68732513725483,520.8387752008464,7.470267
00014.png,UWnet,24.73247795177337,0.9011843566823736,19.585145136647,243.0735309660264,7.208517
00014.png,U-Transformer,25.012804270844782,0.9218142357176741,22.353627099641958,370.50334279741486,7.440113
00014.png,SS-UIE,27.897287930852407,0.9819408083592107,21.45416367544599,350.441781734113,7.324048
00015.png,DM,41.15047956747009,0.9926296098864774,4005315.7570645274,191.85503146937097,7.3799577
00015.png,HAAM-GAN,25.393439060166827,0.9605410139225605,214321.15278149073,183.2149650363424,7.3382893
00015.png,UWnet,17.80238896795637,0.8020752898709428,8.405225550009803,92.75548459359594,6.483962
